Minute Index,Device Category,Region,Sessions,Revenue
52,mobile,Taranaki,1,0
52,tablet,Queensland,1,0
52,tablet,Western Australia,1,0
53,desktop,(not set),1,0
53,desktop,Victoria,1,0
53,mobile,New South Wales,3,0
53,mobile,South Australia,2,0
53,mobile,Victoria,4,0
53,mobile,Western Australia,5,0
53,mobile,England,1,0
53,tablet,Queensland,1,0
53,tablet,Victoria,1,0
54,desktop,New South Wales,1,0
54,desktop,Goa,1,0
54,mobile,New South Wales,4,0
54,mobile,South Australia,1,0
54,mobile,Victoria,1,0
54,mobile,Western Australia,3,0
54,tablet,Victoria,1,0
55,desktop,Zurich,1,0
55,desktop,England,2,166
55,mobile,New South Wales,4,0
55,mobile,Queensland,1,0
55,mobile,South Australia,1,0
55,mobile,Victoria,1,0
55,mobile,Western Australia,6,0
55,mobile,Oslo,1,0
55,mobile,Ohio,1,0
55,tablet,Victoria,1,0
55,tablet,Western Australia,1,0
55,tablet,England,1,0
55,tablet,Maryland,1,0
56,desktop,New South Wales,1,0
56,desktop,South Australia,1,0
56,mobile,Victoria,2,151.97
56,mobile,Western Australia,4,66
56,mobile,Bogota,1,0
57,desktop,Victoria,2,0
57,desktop,Maryland,1,0
57,mobile,New South Wales,2,0
57,mobile,Tasmania,1,0
57,mobile,Victoria,1,0
57,mobile,Western Australia,3,0
57,mobile,England,1,0
57,tablet,Victoria,1,0
58,desktop,New South Wales,1,0
58,desktop,Western Australia,1,0
58,desktop,Ile-de-France,1,0
58,mobile,New South Wales,4,0
58,mobile,Queensland,1,0
58,mobile,Victoria,2,0
58,mobile,Western Australia,3,0
58,tablet,Queensland,1,0
58,tablet,Victoria,1,0
59,desktop,New South Wales,1,0
59,mobile,New South Wales,3,0
59,mobile,Western Australia,4,0
59,tablet,Queensland,1,0
59,tablet,Shanghai,1,0
60,desktop,New South Wales,1,0
60,desktop,Victoria,1,0
60,desktop,England,1,0
60,desktop,Chon Buri,1,0
60,mobile,New South Wales,1,0
60,mobile,Queensland,1,0
60,mobile,South Australia,1,0
60,mobile,Victoria,1,0
60,mobile,Vorarlberg,1,0
61,desktop,(not set),1,0
61,desktop,England,1,0
61,mobile,South Australia,2,0
61,mobile,Victoria,1,0
61,mobile,Western Australia,1,0
61,mobile,Auckland,1,0
61,mobile,Bangkok,1,0
62,desktop,New South Wales,1,0
62,desktop,Victoria,2,0
62,desktop,England,1,0
62,mobile,(not set),1,0
62,mobile,New South Wales,2,0
62,mobile,Queensland,1,0
62,mobile,South Australia,2,0
62,mobile,Victoria,4,0
62,mobile,Western Australia,3,0
62,tablet,England,1,0
63,desktop,(not set),4,0
63,desktop,Western Australia,2,0
63,desktop,England,0,84
63,desktop,Waikato,1,0
63,mobile,(not set),2,0
63,mobile,New South Wales,3,0
63,mobile,Queensland,2,0
63,mobile,Victoria,1,0
63,mobile,Western Australia,2,0
63,mobile,England,1,0
63,tablet,New South Wales,1,0
64,desktop,(not set),2,0
64,desktop,Queensland,1,0
64,desktop,Western Australia,1,0
64,mobile,(not set),1,0
64,mobile,New South Wales,2,0
64,mobile,Victoria,2,0
64,mobile,Western Australia,2,0
64,mobile,West Virginia,1,0
64,tablet,Victoria,1,0
65,desktop,Western Australia,1,106
65,mobile,New South Wales,2,0
65,mobile,Victoria,1,0
65,mobile,England,1,0
65,tablet,England,1,0
66,desktop,New South Wales,1,0
66,desktop,Western Australia,2,0
66,mobile,New South Wales,1,0
66,mobile,Queensland,1,0
66,mobile,Victoria,3,0
66,mobile,England,1,0
66,tablet,Queensland,2,0
66,tablet,Victoria,1,0
67,desktop,New South Wales,1,0
67,mobile,New South Wales,1,0
67,mobile,Victoria,3,0
67,mobile,Western Australia,1,0
67,mobile,Federal Territory of Kuala Lumpur,1,0
67,tablet,Western Australia,1,0
68,desktop,Victoria,1,0
68,mobile,New South Wales,2,0
68,mobile,South Australia,1,0
68,mobile,Victoria,3,0
68,mobile,Western Australia,3,0
68,mobile,Scotland,1,0
68,mobile,New York,1,0
69,desktop,Victoria,1,0
69,mobile,New South Wales,3,0
69,mobile,Victoria,1,0
69,mobile,Western Australia,1,0
69,mobile,England,0,128
